tweet_ID	sentiment
884868178664357889	0
884868183034798081	0
884868248952549376	-1
884868269831725060	0
884868291063316480	0
884868270242893824	-1
884868427164205056	1
884868438245732352	1
	0
884868352811958277	0
884868325335019520	0
884868278191095813	0
884868451080314880	0
884868453185835008	-1
884868464778907648	0
884868483896487936	1
884868477579821056	-1
884868503131574272	-1
884868513726418944	0
884868542742618112	1
884868537973694470	1
884868613353635846	0
884868518318972928	-2
884868621020925952	0
884868596329066499	2
884868646383882244	1
884868641057013761	0
884868744626962433	0
884868673290334208	1
884868684531064832	0
884868709864681472	1
884868691929702400	0
884868658199228417	-1
884868719712890882	0
	0
884868867851530240	0
884868773412573184	-1
884868834548748288	0
884868784808505345	0
884868780224131074	1
884868855142780928	0
884868822787817472	1
884868814948716544	-1
